,Title,Event_Date,Latitude,Longitude,ZIP
145,Rising Stars Gymnastics at Morgan Park SC,2025-04-15 15:00:00,41.6836435,-87.6804633,60647.0
146,Woodcraft Intermediate at Horner,2025-04-15 13:30:00,41.960554,-87.6977103,60618.0
147,Tiny Tot Tumbling at McKiernan Playground,2025-04-15 13:00:00,41.6983547,-87.7024805,60655.0
148,Dino Diggers at Wilson (John P.),2025-04-15 15:15:00,41.8319671,-87.6546086,60608.0
149,Pickleball - Open at Mt. Greenwood,2025-04-15 09:00:00,41.6910646,-87.7137371,60655.0
150,Mens Basketball - Open at Olympia,2025-04-15 10:30:00,41.9993796,-87.8151339,60631.0
151,Track & Field at Avalon,2025-04-15 16:30:00,41.7437383,-87.5941856,60619.0
152,Intro to Cheer - Youth (ASMG) at Gately,2025-04-15 17:00:00,41.70851588,-87.60317802,60628.0
153,Baby Gym at Morgan Park SC,2025-04-15 09:00:00,41.6836435,-87.6804633,60647.0
154,Adaptive Fitness & Swim at Fosco,2025-04-15 18:00:00,41.8649039,-87.6577277,60608.0
155,Volleyball at Kosciuszko,2025-04-15 17:00:00,41.9315116,-87.7237361,60647.0
156,Nature Fun at Revere,2025-04-15 13:00:00,41.9536443,-87.692032,60618.0
157,TEAM Sports at Harrison,2025-04-15 17:00:00,41.8570523,-87.6718838,60608.0
158,Family Club at Brands,2025-04-15 12:30:00,41.94118559,-87.69922256,60618.0
159,Senior Citizens Club at Cooper,2025-04-15 10:00:00,41.6892536,-87.6556673,60643.0
160,Mens Basketball - Open at Armour Square,2025-04-15 17:00:00,41.8341744,-87.6350089,60616.0
161,Earth Day Park Clean Up at McGuane,2025-04-15 09:00:00,41.8411442,-87.6485994,60608.0
162,Fitness Boot Camp at Warren,2025-04-15 11:30:00,42.0021787,-87.6890062,60645.0
163,Park Kids - Spring at Kelly,2025-04-15 15:00:00,41.8190606,-87.6938068,60632.0
164,Senior Citizens Club at Edison,2025-04-15 19:00:00,42.00404685,-87.81758738,60631.0
165,Tennis Partnership at Maggie Daley,2025-04-15 17:00:00,41.88304272,-87.61839688,60605.0
166,Learn to Swim at Piotrowski,2025-04-15 16:00:00,41.8365049,-87.7308512,60623.0
167,USAG Boys Team Gymnastics Optionals at Morgan Park SC,2025-04-15 17:30:00,41.6836435,-87.6804633,60647.0
