ZONE,Full_Street,WARD - LOW,WARD - HIGH
29,5701-5799 S NAGLE AVE,13.0,13.0
141,3814-3856 N KEYSTONE AVE,45.0,45.0
1176,3100-3198 N NOTTINGHAM AVE,29.0,29.0
1673,900-1180 S PARK TER,4.0,4.0
1261,2600-2698 N MERRIMAC AVE,30.0,30.0
866,2301-2359 S ALBANY AVE,12.0,12.0
168,900-958 N HONORE ST,2.0,2.0
220,4814-4858 N SAWYER AVE,33.0,33.0
92,2301-2399 W WINNEMAC AVE,40.0,40.0
1670,1802-1854 N KEELER AVE,35.0,35.0
574,4400-4498 W CONGRESS PKWY,28.0,28.0
5,1004-1038 S RACINE AVE,28.0,28.0
60,4620-4658 N KNOX AVE,39.0,39.0
155,1600-1658 N HAMLIN AVE,26.0,26.0
759,2401-2459 W CORTEZ ST,26.0,26.0
1129,2801-2899 S MICHIGAN AVE,4.0,4.0
93,2705-2745 N AVERS AVE,31.0,31.0
47,4817-4857 W MELROSE ST,31.0,31.0
364,150-150 W MAPLE ST,27.0,27.0
1417,4335-4399 W CORTLAND ST,35.0,35.0
143,2600-2698 N LINCOLN AVE,43.0,43.0
4,4901-4999 W 51ST ST,14.0,14.0
1573,4401-4499 S ALBANY AVE,15.0,15.0
220,4814-4852 N SPAULDING AVE,33.0,33.0
238,4326-4344 N KENNETH AVE,39.0,39.0
225,1601-1659 N TRIPP AVE,26.0,26.0
146,4815-4859 N MONTICELLO AVE,35.0,35.0
1034,3901-3959 N OSCEOLA AVE,38.0,38.0
168,800-898 N DAMEN AVE,2.0,2.0
746,4001-4259 S MAPLEWOOD AVE,12.0,15.0
143,2000-2060 N RACINE AVE,2.0,2.0
279,2302-2328 W 35TH PL,12.0,12.0
116,4500-4516 N ELSTON AVE,39.0,39.0
74,1501-1599 N SANDBURG TER,2.0,2.0
1651,2815-2857 N RICHMOND ST,33.0,33.0
651,1300-1398 W 72ND PL,6.0,6.0
74,1200-1260 N DEARBORN PKWY,2.0,2.0
252,1818-1824 W 47TH ST,15.0,15.0
62,4900-4998 N WOLCOTT AVE,40.0,40.0
1496,2410-2498 N MCVICKER AVE,30.0,30.0
74,1300-1366 N DEARBORN PKWY,2.0,2.0
25,9301-9359 S MICHIGAN AVE,9.0,9.0
1590,3100-3158 N SPRINGFIELD AVE,30.0,30.0
252,4901-4999 W 50TH ST,22.0,22.0
119,306-370 W GOETHE ST,27.0,27.0
154,1532-1550 W WABANSIA AVE,32.0,32.0
5,1401-1457 W FLOURNOY ST,28.0,28.0
1673,700-798 S WELLS ST,25.0,25.0
1044,4601-4657 S ALBANY AVE,15.0,15.0
45,5901-5957 W ROSCOE ST,36.0,36.0
1550,2415-2491 N MASON AVE,30.0,30.0
116,4150-4176 W MONTROSE AVE,39.0,39.0
154,1501-1529 N ELK GROVE AVE,2.0,2.0
80,2200-2298 W FILLMORE ST,28.0,28.0
1305,4000-4098 N PONTIAC AVE,38.0,38.0
1467,5234-5314 W 52ND ST,14.0,14.0
1143,1501-1599 W ADAMS ST,28.0,28.0
1673,812-858 S FINANCIAL PL,25.0,25.0
56,6401-6499 N LAKEWOOD AVE,49.0,49.0
812,4511-4547 S WOLCOTT AVE,15.0,15.0
842,6501-6599 W 57TH ST,13.0,13.0
1448,11500-11598 S HALE AVE,34.0,34.0
934,3500-3598 W CORTLAND ST,1.0,1.0
1567,1617-1655 N KEYSTONE AVE,26.0,26.0
661,5601-5699 S NATCHEZ AVE,13.0,13.0
193,809-857 N HARDING AVE,37.0,37.0
143,2100-2198 N SOUTHPORT AVE,2.0,2.0
984,5800-5898 W MELROSE ST,30.0,30.0
7,5515-5557 S MULLIGAN AVE,13.0,13.0
56,1300-1360 W ARTHUR AVE,49.0,49.0
1340,2701-2799 W 25TH ST,24.0,24.0
805,5515-5559 S WASHTENAW AVE,15.0,15.0
143,1200-1298 W FULLERTON AVE,43.0,43.0
193,1500-1598 N HAMLIN AVE,26.0,26.0
1409,2001-2099 N TRIPP AVE,35.0,35.0
4,5101-5127 S KEATING AVE,14.0,14.0
4,5300-5320 S KEATING AVE,14.0,14.0
143,1300-1318 W BELDEN AVE,2.0,2.0
143,2201-2299 N CLIFTON AVE,43.0,43.0
156,6400-6456 N MINNEHAHA AVE,41.0,41.0
143,1100-1198 W WRIGHTWOOD AVE,43.0,43.0
19,640-650 N CICERO AVE,37.0,37.0
752,1600-1698 N RICHMOND ST,1.0,1.0
154,1401-1449 N PAULINA ST,2.0,2.0
890,2600-2698 S SPAULDING AVE,12.0,12.0
5,800-852 S LOOMIS ST,28.0,28.0
93,2801-2859 N LAWNDALE AVE,30.0,30.0
74,1300-1398 N CLARK ST,2.0,2.0
713,101-199 E 97TH ST,9.0,9.0
341,4814-4854 W SCHOOL ST,31.0,31.0
1519,4709-4717 W 50TH ST,14.0,14.0
1129,2601-2699 S MICHIGAN AVE,4.0,4.0
1492,2501-2545 N RIDGEWAY AVE,31.0,31.0
886,3919-3973 N OLEANDER AVE,38.0,38.0
74,1200-1554 N DEARBORN ST,2.0,2.0
92,2300-2398 W WINNEMAC AVE,40.0,40.0
154,1432-1498 W LE MOYNE ST,2.0,2.0
56,6700-6798 N GLENWOOD AVE,49.0,49.0
611,4401-4499 W GRACE ST,45.0,45.0
80,1007-1013 S CLAREMONT AVE,28.0,28.0
759,1001-1099 N ROCKWELL ST,26.0,1.0
95,2902-2964 N MILWAUKEE AVE,35.0,30.0
168,1004-1058 N HONORE ST,2.0,2.0
143,2201-2299 N MAGNOLIA AVE,43.0,43.0
5,801-811 S LYTLE ST,28.0,28.0
1110,3201-3299 S CALUMET AVE,4.0,4.0
220,4901-4957 N CHRISTIANA AVE,33.0,33.0
1111,100-200 E 98TH ST,9.0,9.0
193,3902-3946 W NORTH AVE,26.0,26.0
80,901-999 S OAKLEY BLVD,28.0,28.0
867,2302-2344 W GLENLAKE AVE,40.0,40.0
584,1300-1344 N HARDING AVE,26.0,26.0
390,3834-3858 W NORTH AVE,26.0,26.0
154,1600-1698 W LE MOYNE ST,2.0,2.0
759,1010-1104 N WASHTENAW AVE,26.0,1.0
143,1201-1231 W WEBSTER AVE,2.0,2.0
74,41-41 W BURTON PL,2.0,2.0
1264,9600-9698 S FOREST AVE,9.0,9.0
103,3626-3658 W EDDY ST,30.0,30.0
74,4-20 W BURTON PL,2.0,2.0
1797,1201-1299 W VAN BUREN ST,28.0,28.0
1023,2201-2259 N KILDARE AVE,35.0,35.0
129,8714-8758 S WABASH AVE,9.0,9.0
373,122-130 W SUPERIOR ST,2.0,2.0
133,5201-5259 W DAKIN ST,45.0,45.0
119,4817-4853 W ERIE ST,37.0,37.0
852,4000-4098 W PATTERSON AVE,45.0,45.0
143,1101-1131 W BELDEN AVE,43.0,43.0
5,816-842 S ADA ST,28.0,28.0
190,3501-3547 N PONTIAC AVE,38.0,38.0
1401,4601-4699 S HERMITAGE AVE,15.0,15.0
56,6501-6551 N LAKEWOOD AVE,49.0,49.0
52,3205-3253 W 63RD PL,23.0,23.0
1646,6300-6398 S KOMENSKY AVE,23.0,13.0
635,3003-3053 N DAVLIN CT,30.0,30.0
193,3901-3925 W CHICAGO AVE,37.0,37.0
589,2401-2499 N HARDING AVE,31.0,31.0
278,100-112 W DELAWARE PL,2.0,2.0
1363,2201-2299 N KEYSTONE AVE,35.0,35.0
1214,3905-3957 W HURON ST,37.0,37.0
1474,3100-3198 N LINDER AVE,31.0,31.0
154,1601-1699 W PIERCE AVE,2.0,2.0
1522,2301-2399 S TROY ST,12.0,12.0
1129,2600-2640 S PRAIRIE AVE,4.0,4.0
1264,9601-9699 S FOREST AVE,9.0,9.0
90,3904-3942 N LAWNDALE AVE,45.0,45.0
1813,3022-3070 N CENTRAL PARK AVE,30.0,30.0
31,3517-3559 S HOYNE AVE,12.0,12.0
146,3800-3844 W LAWRENCE AVE,35.0,35.0
136,2600-2658 W 22ND PL,24.0,24.0
92,2500-2598 W LELAND AVE,40.0,40.0
759,1000-1098 N ROCKWELL ST,26.0,1.0
56,1200-1262 W LOYOLA AVE,49.0,49.0
143,1300-1398 W WEBSTER AVE,2.0,2.0
143,1201-1249 W LILL AVE,43.0,43.0
485,2614-2658 S SAWYER AVE,12.0,12.0
358,101-125 W OAK ST,2.0,2.0
111,4341-4353 W NORTH AVE,26.0,26.0
1296,401-499 S GREEN ST,25.0,25.0
5,1011-1077 W POLK ST,11.0,25.0
267,9301-9359 S WABASH AVE,9.0,9.0
193,1506-1542 N HARDING AVE,26.0,26.0
1271,4831-4861 W CORTLAND ST,36.0,36.0
92,4901-4999 N CLAREMONT AVE,40.0,40.0
785,2000-2098 N KARLOV AVE,35.0,35.0
361,3400-3444 S CLAREMONT AVE,12.0,12.0
168,1100-1198 N HOYNE AVE,2.0,2.0
1693,4403-4411 W 49TH ST,14.0,14.0
984,5801-5899 W MELROSE ST,30.0,30.0
102,2045-2059 W CONCORD PL,2.0,2.0
26,1801-1857 N NEWLAND AVE,29.0,29.0
113,4600-4654 N HAMLIN AVE,35.0,35.0
93,3840-3850 W ALTGELD ST,31.0,31.0
187,6252-6262 S WHIPPLE ST,16.0,16.0
162,7101-7131 W BELMONT AVE,29.0,29.0
358,25-31 W CHESTNUT ST,2.0,2.0
1517,1901-1943 N KEYSTONE AVE,35.0,35.0
1349,3601-3699 N TRIPP AVE,45.0,45.0
143,934-950 W CONCORD PL,2.0,2.0
48,4900-4956 W PATTERSON AVE,30.0,30.0
2,3901-3939 N PARIS AVE,38.0,38.0
1420,2100-2198 N MASON AVE,36.0,36.0
60,4702-4760 N KILPATRICK AVE,39.0,39.0
358,932-998 N CLARK ST,2.0,2.0
252,4601-4645 S WINCHESTER AVE,15.0,15.0
74,1400-1498 N CLARK ST,2.0,2.0
1555,3100-3198 N LOTUS AVE,31.0,31.0
168,1032-1098 N LEAVITT ST,2.0,2.0
210,2-98 S PEORIA ST,25.0,25.0
119,300-312 W EVERGREEN AVE,2.0,27.0
738,730-758 W JACKSON BLVD,42.0,27.0
1077,6000-6098 S RICHMOND ST,16.0,16.0
435,2215-2257 S TROY ST,12.0,12.0
252,4601-4651 S SACRAMENTO AVE,15.0,15.0
738,321-321 S JEFFERSON ST,42.0,42.0
1407,2200-2298 N KARLOV AVE,35.0,35.0
868,4006-4036 W GRACE ST,45.0,45.0
143,1600-1664 N ORCHARD ST,2.0,2.0
185,2814-2858 W 40TH PL,12.0,12.0
5,612-620 S LAFLIN ST,28.0,28.0
1209,3201-3299 N NEVA AVE,29.0,29.0
759,1000-1098 N CAMPBELL AVE,26.0,1.0
1277,7900-7998 S LAFLIN ST,17.0,21.0
154,1500-1598 N HONORE ST,1.0,2.0
193,1507-1543 N HARDING AVE,26.0,26.0
142,401-443 W EUGENIE ST,2.0,43.0
1452,4601-4699 S WASHTENAW AVE,15.0,15.0
142,1606-1658 N SEDGWICK ST,2.0,2.0
114,4001-4057 N BERNARD ST,35.0,35.0
799,3901-3999 N KILDARE AVE,45.0,45.0
1430,3756-3756 N PIONEER AVE,38.0,38.0
143,2201-2247 N KENMORE AVE,43.0,43.0
348,1500-1546 N CLEVELAND AVE,2.0,2.0
367,2014-2058 N AVERS AVE,26.0,26.0
348,1264-1264 N SCHICK PL,2.0,2.0
29,5600-5698 S NAGLE AVE,13.0,13.0
139,2304-2350 N MELVINA AVE,36.0,36.0
25,9300-9358 S MICHIGAN AVE,9.0,9.0
759,1001-1099 N CAMPBELL AVE,26.0,1.0
56,6501-6599 N GLENWOOD AVE,49.0,49.0
143,2100-2142 N CLIFTON AVE,43.0,43.0
1571,7100-7198 W DICKENS AVE,29.0,29.0
820,6900-6998 S MAY ST,6.0,6.0
143,2701-2757 N SEMINARY AVE,43.0,43.0
60,4701-4741 N KNOX AVE,39.0,39.0
35,5514-5558 S MELVINA AVE,13.0,13.0
168,2001-2047 W HADDON AVE,2.0,2.0
154,1347-1379 N DEAN ST,2.0,2.0
92,2401-2425 W LAWRENCE AVE,40.0,40.0
280,3200-3258 N PLAINFIELD AVE,38.0,38.0
1718,5600-5658 S MERRIMAC AVE,13.0,13.0
1211,2700-2798 S WABASH AVE,3.0,3.0
268,9600-9658 S CALUMET AVE,9.0,9.0
1049,8701-8755 S INDIANA AVE,9.0,9.0
1319,1701-1799 N KEELER AVE,26.0,26.0
282,6200-6298 S CLAREMONT AVE,16.0,16.0
187,6201-6243 S WHIPPLE ST,16.0,16.0
759,2500-2558 W THOMAS ST,1.0,1.0
698,2600-2658 W CULLERTON ST,12.0,12.0
119,1400-1400 N LA SALLE ST,27.0,27.0
958,6200-6298 S MOZART ST,16.0,16.0
193,1501-1543 N AVERS AVE,26.0,26.0
728,2301-2399 W 48TH ST,15.0,15.0
1239,6301-6399 S MOZART ST,17.0,17.0
162,3210-3256 N OCTAVIA AVE,29.0,29.0
839,1901-1959 N TRIPP AVE,35.0,35.0
1152,2800-2898 N MOBILE AVE,30.0,30.0
348,1501-1549 N HUDSON AVE,2.0,2.0
692,4201-4259 S TALMAN AVE,15.0,15.0
1673,801-999 S LA SALLE ST,4.0,4.0
142,300-344 W CONCORD PL,2.0,2.0
1700,2900-2954 W ADAMS ST,27.0,27.0
10,5501-5545 W EDDY ST,36.0,36.0
1172,3500-3558 N NORMANDY AVE,38.0,38.0
1596,1900-1998 N MONTICELLO AVE,1.0,26.0
743,4405-4453 N KEELER AVE,39.0,39.0
1651,2814-2856 N RICHMOND ST,33.0,33.0
390,3833-3859 W NORTH AVE,26.0,26.0
1817,2815-2859 N MCVICKER AVE,30.0,30.0
783,1201-1299 W GRENSHAW ST,28.0,28.0
1820,2201-2259 N KEELER AVE,35.0,35.0
1174,4501-4599 S RICHMOND ST,15.0,15.0
1234,3032-3098 W 44TH ST,15.0,15.0
963,1601-1699 N LOWELL AVE,26.0,26.0
1246,3501-3599 N NATOMA AVE,38.0,38.0
1475,4101-4133 W PALMER ST,35.0,35.0
95,3101-3199 W GEORGE ST,33.0,33.0
56,6746-6930 N GREENVIEW AVE,49.0,49.0
1416,1201-1299 N AVERS AVE,27.0,26.0
1203,1500-1598 W AINSLIE ST,47.0,47.0
56,1301-1359 W ALBION AVE,49.0,49.0
168,801-899 N HOYNE AVE,2.0,2.0
187,3010-3052 W 63RD ST,16.0,16.0
74,20-54 W GOETHE ST,2.0,2.0
1392,2901-2999 N NEVA AVE,29.0,29.0
187,3101-3157 W 63RD ST,17.0,17.0
325,2201-2259 N KNOX AVE,36.0,36.0
1209,3200-3298 N NEVA AVE,29.0,29.0
584,1301-1343 N HARDING AVE,26.0,26.0
119,300-302 W GOETHE ST,27.0,27.0
383,3200-3232 N SOUTHPORT AVE,44.0,44.0
5,1200-1298 W FLOURNOY ST,28.0,28.0
103,3614-3688 W CORNELIA AVE,30.0,30.0
154,1500-1530 N ELK GROVE AVE,2.0,2.0
80,1017-1045 S CLAREMONT AVE,28.0,28.0
1331,900-998 W COLLEGE PKWY,11.0,11.0
341,3333-3359 N LAMON AVE,31.0,31.0
383,3700-3898 N KENMORE AVE,44.0,46.0
364,1100-1120 N LA SALLE DR,27.0,27.0
1601,4401-4499 S FRANCISCO AVE,15.0,15.0
1641,4501-4599 S WASHTENAW AVE,15.0,15.0
682,2501-2599 S SPAULDING AVE,12.0,12.0
152,3601-3659 S LEAVITT ST,12.0,12.0
85,6318-6330 N MILWAUKEE AVE,39.0,39.0
1526,1901-1941 N SAWYER AVE,1.0,1.0
1337,4401-4457 S HERMITAGE AVE,15.0,15.0
350,800-898 N CLARK ST,2.0,2.0
325,2300-2340 N KEYSTONE AVE,35.0,35.0
383,901-999 W SHERIDAN RD,46.0,48.0
4,5200-5258 S KEATING AVE,14.0,14.0
738,400-598 S JEFFERSON ST,25.0,25.0
348,1500-1598 N SEDGWICK ST,2.0,2.0
1670,1801-1855 N KEELER AVE,35.0,35.0
143,1000-1098 W WRIGHTWOOD AVE,43.0,43.0
1259,4601-4699 S HONORE ST,15.0,15.0
1476,700-798 W 14TH PL,11.0,11.0
786,1802-1808 N KEYSTONE AVE,35.0,35.0
5,801-839 S BISHOP ST,28.0,28.0
252,4500-4558 S TALMAN AVE,15.0,15.0
1166,1-49 N LONG AVE,29.0,29.0
1291,400-498 E 91ST ST,9.0,9.0
5,801-899 S MORGAN ST,11.0,11.0
1673,700-758 S FINANCIAL PL,4.0,4.0
837,2001-2059 N KILDARE AVE,35.0,35.0
1590,3101-3159 N SPRINGFIELD AVE,30.0,30.0
168,1700-2000 W CHICAGO AVE,1.0,2.0
1286,7101-7199 W SCHOOL ST,29.0,29.0
31,3802-3844 S DAMEN AVE,12.0,12.0
92,4701-4745 N ARTESIAN AVE,40.0,40.0
1362,9800-9898 S CALUMET AVE,9.0,9.0
1388,701-799 N ADA ST,1.0,27.0
143,1201-1299 W BELDEN AVE,43.0,43.0
152,3601-3659 S HAMILTON AVE,12.0,12.0
26,7001-7099 W MEDILL AVE,29.0,29.0
56,6500-6598 N LAKEWOOD AVE,49.0,49.0
429,2601-2699 W LITHUANIAN PLAZA CT,17.0,17.0
53,6219-6247 W 63RD ST,13.0,13.0
1108,4103-4123 W DICKENS AVE,35.0,35.0
1301,7200-7298 W WELLINGTON AVE,29.0,29.0
136,2314-2316 S ROCKWELL ST,24.0,24.0
244,1031-1125 N STATE ST,42.0,2.0
1673,821-1153 S CLARK ST,4.0,4.0
162,3211-3257 N OCTAVIA AVE,29.0,29.0
92,4900-4998 N CLAREMONT AVE,40.0,40.0
4,4700-4798 W 51ST ST,14.0,14.0
429,6701-6759 S MAPLEWOOD AVE,17.0,17.0
5,1246-1282 W LEXINGTON ST,28.0,28.0
383,1400-1498 W BELMONT AVE,44.0,44.0
96,2700-2744 N FRANCISCO AVE,32.0,32.0
5,1023-1073 W VERNON PARK PL,11.0,25.0
383,3800-3898 N ALTA VISTA TER,46.0,46.0
330,5201-5255 W GRACE ST,45.0,45.0
26,6437-6465 W WABANSIA AVE,29.0,29.0
1265,2201-2299 S ALBANY AVE,12.0,12.0
52,6300-6398 S ARTESIAN AVE,16.0,16.0
142,1610-1650 N NORTH PARK AVE,27.0,2.0
1118,4700-4798 W MCLEAN AVE,36.0,36.0
252,4317-4357 S ALBANY AVE,15.0,15.0
26,2301-2333 N NEVA AVE,29.0,29.0
29,5700-5798 S NAGLE AVE,13.0,13.0
10,5400-5458 W EDDY ST,36.0,36.0
1100,2201-2299 N LOWELL AVE,35.0,35.0
197,2300-2398 W 50TH ST,15.0,15.0
2,4815-4829 N NEENAH AVE,45.0,45.0
56,1400-1458 W ALBION AVE,49.0,49.0
1383,2100-2198 S FAIRFIELD AVE,12.0,12.0
74,1142-1198 N CLARK ST,2.0,27.0
70,5000-5046 S KOLIN AVE,14.0,14.0
5,1300-1320 W WESTGATE TER,28.0,28.0
31,3801-3845 S DAMEN AVE,12.0,12.0
5,613-625 S LOOMIS ST,28.0,28.0
96,2701-2757 N TROY ST,32.0,32.0
64,7915-7959 S LAFAYETTE AVE,17.0,17.0
625,2000-2098 N LAPORTE AVE,36.0,36.0
62,4901-4999 N WINCHESTER AVE,40.0,40.0
47,5200-5258 W MELROSE ST,31.0,31.0
120,4805-4931 N RUTHERFORD AVE,,45.0
107,4501-4599 N LAWNDALE AVE,35.0,35.0
136,4444-4458 W 51ST ST,14.0,14.0
1017,2100-2198 N KEYSTONE AVE,26.0,26.0
107,3228-3258 W LAWRENCE AVE,33.0,33.0
1589,1401-1457 N HARDING AVE,26.0,26.0
26,1800-1856 N NEWLAND AVE,29.0,29.0
143,1200-1298 W BELDEN AVE,43.0,43.0
793,7001-7099 S CARPENTER ST,6.0,6.0
143,1970-1970 N RACINE AVE,2.0,2.0
1051,3101-3199 W 41ST PL,15.0,15.0
1847,3217-3259 N MONTICELLO AVE,30.0,30.0
1452,4600-4698 S WASHTENAW AVE,15.0,15.0
80,800-898 S LEAVITT ST,28.0,28.0
107,3701-3755 W WILSON AVE,35.0,35.0
154,1400-1430 W BLACKHAWK ST,2.0,2.0
1601,4400-4498 S FRANCISCO AVE,15.0,15.0
95,2901-2965 N MILWAUKEE AVE,35.0,30.0
358,127-199 W OAK ST,2.0,2.0
74,1500-1554 N STATE PKWY,2.0,2.0
1307,927-933 N LA SALLE DR,2.0,2.0
325,2301-2343 N KARLOV AVE,35.0,35.0
1268,4901-4999 N KENMORE AVE,48.0,48.0
154,1700-1798 W LE MOYNE ST,2.0,2.0
111,4342-4352 W NORTH AVE,36.0,36.0
143,1801-1899 N CLYBOURN AVE,43.0,43.0
136,2601-2659 W 22ND PL,24.0,24.0
5,801-863 S LAFLIN ST,28.0,28.0
5,928-938 S BISHOP ST,28.0,28.0
143,2200-2298 N SOUTHPORT AVE,2.0,2.0
1031,6000-6098 W NELSON ST,30.0,30.0
5,1501-1529 W HARRISON ST,28.0,28.0
1168,2101-2165 N MULLIGAN AVE,36.0,36.0
1760,5101-5111 W CATALPA AVE,39.0,39.0
113,4601-4655 N SPRINGFIELD AVE,35.0,35.0
1121,1620-1650 N NATCHEZ AVE,29.0,29.0
143,2100-2198 N MAGNOLIA AVE,2.0,2.0
80,900-948 S LEAVITT ST,28.0,28.0
56,6600-6698 N LAKEWOOD AVE,49.0,49.0
119,129-199 W DIVISION ST,27.0,27.0
1121,1621-1651 N NATCHEZ AVE,29.0,29.0
143,1912-1960 N SEMINARY AVE,43.0,43.0
26,6400-6414 W BLOOMINGDALE AVE,29.0,29.0
168,1829-1899 W AUGUSTA BLVD,1.0,2.0
738,400-498 S CLINTON ST,25.0,25.0
1073,16-118 S SEELEY AVE,27.0,27.0
119,1250-1250 N LA SALLE ST,2.0,2.0
142,229-245 W CONCORD LN,2.0,2.0
759,2421-2457 W RICE ST,26.0,26.0
10,5901-5959 W CORNELIA AVE,36.0,36.0
136,4445-4457 W 51ST ST,14.0,14.0
143,2200-2298 N LAKEWOOD AVE,2.0,2.0
35,5516-5558 S MOBILE AVE,13.0,13.0
143,1001-1099 W DIVERSEY PKWY,43.0,43.0
1183,3001-3099 W 23RD ST,12.0,12.0
143,2301-2399 N LAKEWOOD AVE,43.0,43.0
154,1415-1547 N WOOD ST,2.0,2.0
143,1830-1890 N MAUD AVE,43.0,43.0
80,2124-2172 W BOWLER ST,28.0,28.0
154,1401-1431 W BLACKHAWK ST,2.0,2.0
141,3900-3928 N TRIPP AVE,45.0,45.0
119,307-369 W GOETHE ST,2.0,27.0
220,4815-4857 N CHRISTIANA AVE,33.0,33.0
267,9300-9358 S WABASH AVE,9.0,9.0
1187,2200-2298 N KEDVALE AVE,35.0,35.0
107,4500-4556 N LAWNDALE AVE,35.0,35.0
113,4701-4743 N SPRINGFIELD AVE,35.0,35.0
252,4200-4298 S FAIRFIELD AVE,15.0,15.0
100,3224-3288 W FULLERTON AVE,32.0,35.0
168,2200-2298 W SUPERIOR ST,1.0,1.0
31,3513-3559 S SEELEY AVE,12.0,12.0
25,9401-9443 S WABASH AVE,9.0,9.0
341,3303-3307 N LAMON AVE,31.0,31.0
5,1500-1518 W POLK ST,28.0,28.0
846,1200-1298 W HURON ST,1.0,1.0
383,901-999 W GRACE ST,46.0,44.0
129,8715-8759 S WABASH AVE,9.0,9.0
1572,5261-5279 N LAWLER AVE,39.0,39.0
367,3201-3269 W BELDEN AVE,32.0,32.0
168,2101-2199 W HADDON AVE,2.0,2.0
1702,6381-6391 W 58TH ST,13.0,13.0
470,9600-9652 S DR MARTIN LUTHER KING JR DR,9.0,9.0
1546,4600-4658 S RICHMOND ST,15.0,15.0
383,1000-1098 W DAKIN ST,46.0,46.0
143,2701-2799 N LAKEWOOD AVE,43.0,43.0
856,1901-1943 N LOWELL AVE,35.0,35.0
5,1411-1455 W POLK ST,28.0,28.0
1230,8201-8299 S COMMERCIAL AVE,7.0,7.0
1534,5101-5121 S KILPATRICK AVE,14.0,14.0
906,2101-2199 N MENARD AVE,36.0,36.0
80,800-898 S OAKLEY BLVD,28.0,28.0
1673,801-899 S PLYMOUTH CT,4.0,4.0
143,2100-2198 N SHEFFIELD AVE,43.0,43.0
80,809-835 S BELL AVE,28.0,28.0
931,4501-4559 S ALBANY AVE,15.0,15.0
272,11311-11345 S HALE AVE,34.0,34.0
56,6700-6798 N LAKEWOOD AVE,49.0,49.0
1565,4301-4399 W SHAKESPEARE AVE,35.0,35.0
80,700-748 S CLAREMONT AVE,28.0,28.0
1331,1401-1499 S SANGAMON ST,11.0,11.0
367,3401-3441 W MEDILL AVE,35.0,35.0
74,101-139 W SCHILLER ST,2.0,2.0
102,1605-1661 N OAKLEY AVE,32.0,32.0
1400,6001-6099 N TALMAN AVE,40.0,40.0
56,1400-1440 W NORTH SHORE AVE,49.0,49.0
187,6200-6242 S TROY ST,16.0,16.0
95,2801-2899 N ALBANY AVE,33.0,33.0
554,3400-3498 S OAKLEY AVE,12.0,12.0
142,338-338 W NORTH AVE,2.0,2.0
107,3701-3751 W AGATITE AVE,35.0,35.0
367,2301-2341 N SPRINGFIELD AVE,35.0,35.0
80,2200-2298 W TAYLOR ST,28.0,28.0
383,900-998 W WAVELAND AVE,46.0,44.0
1059,3212-3256 N OZANAM AVE,38.0,38.0
1569,2948-2950 W CORTLAND ST,1.0,1.0
1227,3101-3199 W 42ND PL,15.0,15.0
168,1001-1099 N OAKLEY BLVD,2.0,2.0
154,1900-1998 W NORTH AVE,2.0,2.0
738,731-759 W JACKSON BLVD,42.0,27.0
1564,1225-1247 W OHIO ST,1.0,1.0
74,1300-1398 N SANDBURG TER,2.0,2.0
1687,2100-2158 N KARLOV AVE,35.0,35.0
852,4001-4099 W PATTERSON AVE,45.0,45.0
358,1010-1098 N CLARK ST,2.0,2.0
102,2046-2058 W CONCORD PL,2.0,2.0
26,2301-2359 N NORDICA AVE,29.0,29.0
1511,4700-4798 S ROCKWELL ST,15.0,15.0
896,1901-1999 N KARLOV AVE,35.0,35.0
5,1100-1116 S RACINE AVE,28.0,28.0
143,1526-1526 N HALSTED ST,2.0,2.0
325,2300-2342 N KARLOV AVE,35.0,35.0
168,801-899 N DAMEN AVE,1.0,2.0
783,1200-1298 W GRENSHAW ST,28.0,28.0
38,5100-5198 S LAPORTE AVE,14.0,14.0
5,900-924 S BISHOP ST,28.0,28.0
543,601-699 W 64TH ST,20.0,20.0
358,839-859 N DEARBORN ST,2.0,2.0
738,701-729 W JACKSON BLVD,42.0,42.0
1820,2200-2258 N KEELER AVE,35.0,35.0
252,4900-4998 W 50TH ST,22.0,22.0
1350,5500-5526 N NASHVILLE AVE,45.0,45.0
47,4900-4956 W ROSCOE ST,31.0,31.0
957,5900-5998 S SAWYER AVE,23.0,23.0
1169,2201-2299 N MULLIGAN AVE,36.0,36.0
47,4812-4864 W NEWPORT AVE,31.0,31.0
686,5500-5598 S RICHMOND ST,16.0,16.0
713,9701-9799 S MICHIGAN AVE,9.0,9.0
168,1001-1099 N WINCHESTER AVE,2.0,2.0
96,2701-2755 N MOZART ST,32.0,32.0
143,1800-1898 N CLYBOURN AVE,2.0,2.0
154,1701-1799 W JULIAN ST,2.0,2.0
1141,4701-4799 W 48TH ST,14.0,14.0
143,2701-2779 N KENMORE AVE,43.0,43.0
1417,4336-4398 W CORTLAND ST,35.0,35.0
74,1301-1365 N DEARBORN PKWY,2.0,2.0
154,1901-1949 W WABANSIA AVE,2.0,2.0
74,1401-1499 N SANDBURG TER,2.0,2.0
1169,2200-2298 N MULLIGAN AVE,36.0,36.0
768,6705-6759 S ARTESIAN AVE,17.0,17.0
1065,1900-1998 W 34TH PL,12.0,12.0
111,1500-1542 N KEYSTONE AVE,26.0,26.0
142,301-345 W CONCORD PL,2.0,2.0
1018,4301-4399 W MCLEAN AVE,35.0,35.0
1211,2701-2799 S WABASH AVE,3.0,3.0
651,1301-1399 W 72ND ST,6.0,6.0
10,5900-5958 W CORNELIA AVE,36.0,36.0
