ZONE,Full_Street,WARD - LOW,WARD - HIGH
143,544-642 W FULLERTON PKWY,43.0,43.0
2086,9100-9152 S ADA ST,21.0,21.0
383,1401-1499 W HENDERSON ST,44.0,44.0
383,1101-1199 W ROSCOE ST,44.0,44.0
726,244-298 W SWANN ST,3.0,3.0
114,4300-4344 N RIDGEWAY AVE,35.0,35.0
125,1704-1744 W 102ND ST,19.0,19.0
1541,1615-1659 W 18TH PL,25.0,25.0
67,8412-8454 W GREGORY ST,41.0,41.0
26,1606-1654 N MOBILE AVE,29.0,29.0
2093,5800-5898 S KILBOURN AVE,13.0,13.0
143,901-999 W ARMITAGE AVE,43.0,43.0
2010,1801-1859 W CULLERTON ST,25.0,25.0
2005,3206-3254 W 64TH ST,23.0,23.0
95,2815-2873 N DAWSON AVE,35.0,35.0
102,2300-2398 W MONTANA ST,1.0,1.0
602,2405-2455 S ALBANY AVE,12.0,12.0
475,7601-7655 S LAWNDALE AVE,18.0,18.0
1584,4300-4498 S PRAIRIE AVE,3.0,3.0
383,1000-1098 W ROSCOE ST,44.0,44.0
825,6101-6199 N CHRISTIANA AVE,50.0,50.0
142,1713-1753 N ST MICHAELS CT,43.0,43.0
383,901-999 W WAVELAND AVE,44.0,44.0
42,7301-7355 S TROY ST,18.0,18.0
95,2834-2862 N DRAKE AVE,35.0,35.0
853,10931-10951 S WOOD ST,19.0,19.0
92,4609-4623 N ROCKWELL AVE,47.0,47.0
64,7914-7958 S LA SALLE ST,17.0,17.0
325,4150-4156 W BELDEN AVE,35.0,35.0
12,9901-9929 S WOOD ST,19.0,19.0
383,1301-1399 W SCHOOL ST,44.0,44.0
1364,5401-5499 W GEORGE ST,31.0,31.0
135,7800-7856 S RIDGELAND AVE,8.0,8.0
383,1401-1499 W CORNELIA AVE,44.0,44.0
1102,2900-2998 N LINDER AVE,31.0,31.0
122,6804-6844 S LAFAYETTE AVE,6.0,6.0
568,2800-2856 W 24TH ST,12.0,12.0
163,6000-6098 N ARTESIAN AVE,40.0,40.0
383,1001-1099 W ADDISON ST,44.0,44.0
1288,6600-6654 N OSHKOSH AVE,41.0,41.0
125,10201-10233 S WOOD ST,19.0,19.0
2186,7100-7198 W DIVERSEY AVE,29.0,29.0
49,7101-7127 W HIGHLAND AVE,41.0,41.0
95,2814-2874 N DAWSON AVE,35.0,35.0
345,5900-5958 S KILBOURN AVE,13.0,13.0
2093,5801-5899 S KILBOURN AVE,13.0,13.0
383,401-561 W SURF ST,44.0,44.0
724,8200-8244 S LAFAYETTE AVE,21.0,21.0
383,700-798 W DIVERSEY PKWY,44.0,44.0
154,2010-2056 W PIERCE AVE,1.0,1.0
114,4101-4159 N BERNARD ST,35.0,35.0
41,5415-5485 N OCTAVIA AVE,41.0,41.0
2187,0-100 N LATROBE AVE,28.0,28.0
687,216-218 W ALEXANDER ST,25.0,25.0
19,5931-5945 W NORTH AVE,29.0,29.0
2007,9301-9399 S LOWE AVE,21.0,21.0
1679,8200-8298 S ELLIS AVE,8.0,8.0
1604,5500-5598 S PRINCETON AVE,3.0,3.0
151,5101-5199 S HAMLIN AVE,23.0,23.0
2013,6200-6346 W MELROSE ST,36.0,36.0
66,1900-2098 E 89TH ST,8.0,8.0
143,801-899 W WILLOW ST,43.0,43.0
80,600-624 S OAKLEY BLVD,28.0,28.0
2125,2635-2675 W WARREN BLVD,27.0,27.0
383,3201-3299 N SOUTHPORT AVE,44.0,44.0
1092,5500-5598 S MAYFIELD AVE,23.0,23.0
91,2036-2036 E 81ST ST,8.0,8.0
164,5537-5539 W BALMORAL AVE,45.0,45.0
1598,2300-2342 N LAWNDALE AVE,35.0,35.0
357,5317-5325 S HAMILTON AVE,16.0,16.0
1955,3100-3144 W PERSHING RD,12.0,12.0
116,4705-4741 N SAWYER AVE,33.0,33.0
253,8715-8753 S JUSTINE ST,21.0,21.0
56,6301-6399 N LAKEWOOD AVE,48.0,48.0
2037,8601-8645 S VERNON AVE,6.0,6.0
1498,5200-5298 W NELSON ST,31.0,31.0
